experiment,algorithm,n,S,seed,trial,comparisons,cpu_seconds,wall_seconds,sorted
growth,hybrid,1000,32,20261901,1,13502,0.0,0.005144700000528246,True
growth,hybrid,1000,32,20261901,2,13502,0.0,0.004727600025944412,True
growth,hybrid,1000,32,20261901,3,13502,0.015625,0.004738100047688931,True
growth,hybrid,10000,32,20270901,1,143688,0.0625,0.05631129996618256,True
growth,hybrid,10000,32,20270901,2,143688,0.046875,0.05542879999848083,True
growth,hybrid,10000,32,20270901,3,143688,0.0625,0.05303260002983734,True
growth,hybrid,100000,32,20360901,1,1863184,0.609375,0.6174939000047743,True
growth,hybrid,100000,32,20360901,2,1863184,0.703125,0.7085268999799155,True
growth,hybrid,100000,32,20360901,3,1863184,0.59375,0.5951679999707267,True
growth,hybrid,1000000,32,21260901,1,23193748,12.0,13.04254850000143,True
growth,hybrid,1000000,32,21260901,2,23193748,5.28125,5.422675799985882,True
growth,hybrid,1000000,32,21260901,3,23193748,5.640625,5.796662500011735,True
growth,hybrid,10000000,32,30260901,1,242317443,83.53125,87.76711349998368,True
growth,hybrid,10000000,32,30260901,2,242317443,169.15625,186.4120869000326,True
growth,hybrid,10000000,32,30260901,3,242317443,98.59375,104.11476999998558,True
threshold,hybrid,1000000,1,20260902,1,18673326,5.015625,5.2384856000426225,True
threshold,hybrid,1000000,1,20260902,2,18673326,5.140625,5.2680656999582425,True
threshold,hybrid,1000000,1,20260902,3,18673326,5.1875,5.49507679999806,True
threshold,hybrid,1000000,2,20260902,1,18673326,5.0,5.314706299977843,True
threshold,hybrid,1000000,2,20260902,2,18673326,5.03125,5.230624299962074,True
threshold,hybrid,1000000,2,20260902,3,18673326,4.953125,5.184082000050694,True
threshold,hybrid,1000000,4,20260902,1,18726613,4.78125,4.899826099979691,True
threshold,hybrid,1000000,4,20260902,2,18726613,4.890625,4.985276199993677,True
threshold,hybrid,1000000,4,20260902,3,18726613,4.765625,5.008106899971608,True
threshold,hybrid,1000000,8,20260902,1,19070974,5.640625,5.721574600029271,True
threshold,hybrid,1000000,8,20260902,2,19070974,4.796875,4.993799599993508,True
threshold,hybrid,1000000,8,20260902,3,19070974,4.875,5.02930130000459,True
threshold,hybrid,1000000,12,20260902,1,19070974,5.265625,5.59644739999203,True
threshold,hybrid,1000000,12,20260902,2,19070974,4.859375,5.103635300009046,True
threshold,hybrid,1000000,12,20260902,3,19070974,5.0,5.281176700023934,True
threshold,hybrid,1000000,16,20260902,1,20225372,5.0,5.17165199998999,True
threshold,hybrid,1000000,16,20260902,2,20225372,6.5625,6.7372504999511875,True
threshold,hybrid,1000000,16,20260902,3,20225372,4.640625,4.780611599970143,True
threshold,hybrid,1000000,24,20260902,1,20225372,5.203125,5.27617809997173,True
threshold,hybrid,1000000,24,20260902,2,20225372,5.921875,6.020480700011831,True
threshold,hybrid,1000000,24,20260902,3,20225372,4.6875,4.790149100008421,True
threshold,hybrid,1000000,32,20260902,1,23178941,4.875,5.067640199966263,True
threshold,hybrid,1000000,32,20260902,2,23178941,5.453125,5.686271799961105,True
threshold,hybrid,1000000,32,20260902,3,23178941,4.796875,5.120044699986465,True
threshold,hybrid,1000000,48,20260902,1,23178941,4.671875,5.109473199991044,True
threshold,hybrid,1000000,48,20260902,2,23178941,4.984375,5.277921500033699,True
threshold,hybrid,1000000,48,20260902,3,23178941,4.890625,5.162914599990472,True
threshold,hybrid,1000000,64,20260902,1,29904732,6.03125,6.304328300000634,True
threshold,hybrid,1000000,64,20260902,2,29904732,6.203125,6.32319699996151,True
threshold,hybrid,1000000,64,20260902,3,29904732,6.078125,6.202256299962755,True
threshold,hybrid,1000000,96,20260902,1,29904732,6.0625,6.213858300005086,True
threshold,hybrid,1000000,96,20260902,2,29904732,5.796875,6.04941780003719,True
threshold,hybrid,1000000,96,20260902,3,29904732,5.59375,6.008695699973032,True
threshold,hybrid,1000000,128,20260902,1,44205905,7.859375,8.388549299968872,True
threshold,hybrid,1000000,128,20260902,2,44205905,8.03125,8.252330399991479,True
threshold,hybrid,1000000,128,20260902,3,44205905,8.578125,8.923415400029626,True
