experiment,algorithm,n,S,seed,trial,comparisons,cpu_seconds,wall_seconds,sorted
growth,hybrid,1000,32,20261901,1,13502,0.0,0.0021359999664127827,True
growth,hybrid,10000,32,20270901,1,143688,0.03125,0.02583459997549653,True
growth,hybrid,100000,32,20360901,1,1863184,0.359375,0.34800280001945794,True
threshold,hybrid,20000,1,20260902,1,260754,0.0625,0.06707799999276176,True
threshold,hybrid,20000,2,20260902,1,260754,0.0625,0.061505200050305575,True
threshold,hybrid,20000,4,20260902,1,260871,0.046875,0.06087929999921471,True
threshold,hybrid,20000,8,20260902,1,262856,0.0625,0.06077570002526045,True
threshold,hybrid,20000,12,20260902,1,273708,0.0625,0.05733320000581443,True
threshold,hybrid,20000,16,20260902,1,273708,0.0625,0.06125679996330291,True
threshold,hybrid,20000,24,20260902,1,306336,0.078125,0.08786560001317412,True
threshold,hybrid,20000,32,20260902,1,306336,0.109375,0.10985539999091998,True
threshold,hybrid,20000,48,20260902,1,384072,0.125,0.13066409999737516,True
threshold,hybrid,20000,64,20260902,1,384072,0.140625,0.14311489998362958,True
threshold,hybrid,20000,96,20260902,1,561387,0.15625,0.1654223999939859,True
threshold,hybrid,20000,128,20260902,1,561387,0.171875,0.19836679997388273,True
optimal,hybrid,5000,4,20265903,1,55259,0.03125,0.03022190002957359,True
optimal,hybrid,5000,8,20265903,1,55671,0.03125,0.02700659999391064,True
optimal,hybrid,5000,12,20265903,1,58475,0.015625,0.02348939998773858,True
optimal,hybrid,5000,16,20265903,1,58475,0.03125,0.020912299980409443,True
optimal,hybrid,5000,24,20265903,1,66940,0.015625,0.020765800029039383,True
optimal,hybrid,5000,32,20265903,1,66940,0.015625,0.019682299986016005,True
optimal,hybrid,5000,48,20265903,1,86925,0.03125,0.022423800022806972,True
optimal,hybrid,5000,64,20265903,1,86925,0.015625,0.023417800024617463,True
optimal,hybrid,5000,96,20265903,1,130484,0.03125,0.02850590000161901,True
optimal,hybrid,20000,4,20280903,1,261241,0.078125,0.07664889999432489,True
optimal,hybrid,20000,8,20280903,1,263132,0.0625,0.0670234999852255,True
optimal,hybrid,20000,12,20280903,1,274380,0.046875,0.06118750001769513,True
optimal,hybrid,20000,16,20280903,1,274380,0.0625,0.06168039998738095,True
optimal,hybrid,20000,24,20280903,1,307358,0.078125,0.0761447999975644,True
optimal,hybrid,20000,32,20280903,1,307358,0.078125,0.0764620999689214,True
optimal,hybrid,20000,48,20280903,1,387735,0.09375,0.08248359995195642,True
optimal,hybrid,20000,64,20280903,1,387735,0.078125,0.07649089995538816,True
optimal,hybrid,20000,96,20280903,1,564565,0.078125,0.10257459996500984,True
optimal,hybrid,100000,4,20360903,1,1536775,0.359375,0.385009000019636,True
optimal,hybrid,100000,8,20360903,1,1558033,0.375,0.37362949998350814,True
optimal,hybrid,100000,12,20360903,1,1619322,0.375,0.37199080002028495,True
optimal,hybrid,100000,16,20360903,1,1638787,0.65625,0.6954788999864832,True
optimal,hybrid,100000,24,20360903,1,1763266,0.484375,0.49603639997076243,True
optimal,hybrid,100000,32,20360903,1,1860756,0.40625,0.4096259999787435,True
optimal,hybrid,100000,48,20360903,1,1947302,0.375,0.382036299968604,True
optimal,hybrid,100000,64,20360903,1,2382127,0.4375,0.44281019998015836,True
optimal,hybrid,100000,96,20360903,1,2382127,0.5,0.49970960000064224,True
comparison,merge,100000,1,20260904,1,1536081,0.375,0.4067440000362694,True
comparison,hybrid,100000,32,20260904,1,1861478,0.40625,0.406724700005725,True
