experiment,algorithm,n,S,comparisons,cpu_seconds,wall_seconds,trial_count
comparison,hybrid,10000000,12,226422048.0,76.921875,78.10682479996467,3
comparison,merge,10000000,1,220099684.0,171.8125,201.40405890002148,3
growth,hybrid,1000,32,13502.0,0.0,0.0047381000476889,3
growth,hybrid,10000,32,143688.0,0.0625,0.0554287999984808,3
growth,hybrid,100000,32,1863184.0,0.609375,0.6174939000047743,3
growth,hybrid,1000000,32,23193748.0,5.640625,5.796662500011735,3
growth,hybrid,10000000,32,242317443.0,98.59375,104.11476999998558,3
optimal,hybrid,100000,4,1536775.0,0.375,0.3787707999581471,3
optimal,hybrid,100000,8,1558033.0,0.375,0.3809504000237211,3
optimal,hybrid,100000,12,1619322.0,0.359375,0.3604553999612108,3
optimal,hybrid,100000,16,1638787.0,0.359375,0.3697111000074073,3
optimal,hybrid,100000,24,1763266.0,0.375,0.420959800016135,3
optimal,hybrid,100000,32,1860756.0,0.421875,0.4245071999612264,3
optimal,hybrid,100000,48,1947302.0,0.421875,0.4234181000501849,3
optimal,hybrid,100000,64,2382127.0,0.453125,0.4577464999747462,3
optimal,hybrid,100000,96,2382127.0,0.4375,0.4444775000447407,3
optimal,hybrid,1000000,4,18728037.0,4.796875,4.966001500026323,3
optimal,hybrid,1000000,8,19072326.0,4.765625,4.8545660999952815,3
optimal,hybrid,1000000,12,19072326.0,4.59375,4.723441999987699,3
optimal,hybrid,1000000,16,20223490.0,4.890625,5.03005270002177,3
optimal,hybrid,1000000,24,20223490.0,4.6875,4.828659599996172,3
optimal,hybrid,1000000,32,23189316.0,5.234375,5.404738400015049,3
optimal,hybrid,1000000,48,23189316.0,5.125,5.267278300016187,3
optimal,hybrid,1000000,64,29907584.0,6.09375,6.368668899987824,3
optimal,hybrid,1000000,96,29907584.0,6.0625,6.256841599999461,3
optimal,hybrid,10000000,4,220222163.0,64.1875,67.19005740003195,3
optimal,hybrid,10000000,8,221110763.0,61.921875,64.5058497999562,3
optimal,hybrid,10000000,12,226413194.0,60.875,63.37898650002899,3
optimal,hybrid,10000000,16,226413194.0,61.4375,63.72749150003074,3
optimal,hybrid,10000000,24,242317935.0,61.40625,63.85928309999872,3
optimal,hybrid,10000000,32,242317935.0,61.0,63.961508300038986,3
optimal,hybrid,10000000,48,281250464.0,66.671875,69.2298543000361,3
optimal,hybrid,10000000,64,281250464.0,66.21875,68.2156990999938,3
optimal,hybrid,10000000,96,367276264.0,69.921875,71.94012050004676,3
threshold,hybrid,1000000,1,18673326.0,5.140625,5.2680656999582425,3
threshold,hybrid,1000000,2,18673326.0,5.0,5.230624299962074,3
threshold,hybrid,1000000,4,18726613.0,4.78125,4.985276199993677,3
threshold,hybrid,1000000,8,19070974.0,4.875,5.02930130000459,3
threshold,hybrid,1000000,12,19070974.0,5.0,5.281176700023934,3
threshold,hybrid,1000000,16,20225372.0,5.0,5.17165199998999,3
threshold,hybrid,1000000,24,20225372.0,5.203125,5.27617809997173,3
threshold,hybrid,1000000,32,23178941.0,4.875,5.120044699986465,3
threshold,hybrid,1000000,48,23178941.0,4.890625,5.162914599990472,3
threshold,hybrid,1000000,64,29904732.0,6.078125,6.304328300000634,3
threshold,hybrid,1000000,96,29904732.0,5.796875,6.04941780003719,3
threshold,hybrid,1000000,128,44205905.0,8.03125,8.388549299968872,3
