experiment,algorithm,n,S,comparisons,cpu_seconds,wall_seconds
comparison,hybrid,100000,32,1861478.0,0.40625,0.406724700005725
comparison,merge,100000,1,1536081.0,0.375,0.4067440000362694
growth,hybrid,1000,32,13502.0,0.0,0.0021359999664127
growth,hybrid,10000,32,143688.0,0.03125,0.0258345999754965
growth,hybrid,100000,32,1863184.0,0.359375,0.3480028000194579
optimal,hybrid,5000,4,55259.0,0.03125,0.0302219000295735
optimal,hybrid,5000,8,55671.0,0.03125,0.0270065999939106
optimal,hybrid,5000,12,58475.0,0.015625,0.0234893999877385
optimal,hybrid,5000,16,58475.0,0.03125,0.0209122999804094
optimal,hybrid,5000,24,66940.0,0.015625,0.0207658000290393
optimal,hybrid,5000,32,66940.0,0.015625,0.019682299986016
optimal,hybrid,5000,48,86925.0,0.03125,0.0224238000228069
optimal,hybrid,5000,64,86925.0,0.015625,0.0234178000246174
optimal,hybrid,5000,96,130484.0,0.03125,0.028505900001619
optimal,hybrid,20000,4,261241.0,0.078125,0.0766488999943248
optimal,hybrid,20000,8,263132.0,0.0625,0.0670234999852255
optimal,hybrid,20000,12,274380.0,0.046875,0.0611875000176951
optimal,hybrid,20000,16,274380.0,0.0625,0.0616803999873809
optimal,hybrid,20000,24,307358.0,0.078125,0.0761447999975644
optimal,hybrid,20000,32,307358.0,0.078125,0.0764620999689214
optimal,hybrid,20000,48,387735.0,0.09375,0.0824835999519564
optimal,hybrid,20000,64,387735.0,0.078125,0.0764908999553881
optimal,hybrid,20000,96,564565.0,0.078125,0.1025745999650098
optimal,hybrid,100000,4,1536775.0,0.359375,0.385009000019636
optimal,hybrid,100000,8,1558033.0,0.375,0.3736294999835081
optimal,hybrid,100000,12,1619322.0,0.375,0.3719908000202849
optimal,hybrid,100000,16,1638787.0,0.65625,0.6954788999864832
optimal,hybrid,100000,24,1763266.0,0.484375,0.4960363999707624
optimal,hybrid,100000,32,1860756.0,0.40625,0.4096259999787435
optimal,hybrid,100000,48,1947302.0,0.375,0.382036299968604
optimal,hybrid,100000,64,2382127.0,0.4375,0.4428101999801583
optimal,hybrid,100000,96,2382127.0,0.5,0.4997096000006422
threshold,hybrid,20000,1,260754.0,0.0625,0.0670779999927617
threshold,hybrid,20000,2,260754.0,0.0625,0.0615052000503055
threshold,hybrid,20000,4,260871.0,0.046875,0.0608792999992147
threshold,hybrid,20000,8,262856.0,0.0625,0.0607757000252604
threshold,hybrid,20000,12,273708.0,0.0625,0.0573332000058144
threshold,hybrid,20000,16,273708.0,0.0625,0.0612567999633029
threshold,hybrid,20000,24,306336.0,0.078125,0.0878656000131741
threshold,hybrid,20000,32,306336.0,0.109375,0.1098553999909199
threshold,hybrid,20000,48,384072.0,0.125,0.1306640999973751
threshold,hybrid,20000,64,384072.0,0.140625,0.1431148999836295
threshold,hybrid,20000,96,561387.0,0.15625,0.1654223999939859
threshold,hybrid,20000,128,561387.0,0.171875,0.1983667999738827
